Datetime,Forecasted_AEP_MW
2018-08-03 01:00:00,16776.8
2018-08-03 02:00:00,15921.752
2018-08-03 03:00:00,15127.423
2018-08-03 04:00:00,14470.26
2018-08-03 05:00:00,14011.435
2018-08-03 06:00:00,13869.057
2018-08-03 07:00:00,14069.649
2018-08-03 08:00:00,14604.057
2018-08-03 09:00:00,15396.895
2018-08-03 10:00:00,16354.3
2018-08-03 11:00:00,17418.432
2018-08-03 12:00:00,18469.328
2018-08-03 13:00:00,19365.807
2018-08-03 14:00:00,20042.201
2018-08-03 15:00:00,20503.27
2018-08-03 16:00:00,20797.35
2018-08-03 17:00:00,20866.441
2018-08-03 18:00:00,20686.127
2018-08-03 19:00:00,20305.209
2018-08-03 20:00:00,19857.645
2018-08-03 21:00:00,19379.725
2018-08-03 22:00:00,18837.555
2018-08-03 23:00:00,18161.143
2018-08-04 00:00:00,17394.166
2018-08-04 01:00:00,16497.828
2018-08-04 02:00:00,15568.169
2018-08-04 03:00:00,14757.61
2018-08-04 04:00:00,14103.355
2018-08-04 05:00:00,13633.801
2018-08-04 06:00:00,13477.038
2018-08-04 07:00:00,13684.285
2018-08-04 08:00:00,14206.697
2018-08-04 09:00:00,15009.493
2018-08-04 10:00:00,15966.307
2018-08-04 11:00:00,17024.443
2018-08-04 12:00:00,18010.035
2018-08-04 13:00:00,18856.408
2018-08-04 14:00:00,19505.023
2018-08-04 15:00:00,19962.674
2018-08-04 16:00:00,20240.63
2018-08-04 17:00:00,20297.906
2018-08-04 18:00:00,20126.379
2018-08-04 19:00:00,19783.635
2018-08-04 20:00:00,19378.398
2018-08-04 21:00:00,18916.031
2018-08-04 22:00:00,18367.92
2018-08-04 23:00:00,17684.725
2018-08-05 00:00:00,16867.041
2018-08-05 01:00:00,15928.204
2018-08-05 02:00:00,14952.08
2018-08-05 03:00:00,14103.989
2018-08-05 04:00:00,13450.208
2018-08-05 05:00:00,13031.872
2018-08-05 06:00:00,12909.939
2018-08-05 07:00:00,13111.471
2018-08-05 08:00:00,13632.98
2018-08-05 09:00:00,14432.374
2018-08-05 10:00:00,15413.081
2018-08-05 11:00:00,16470.05
2018-08-05 12:00:00,17435.842
2018-08-05 13:00:00,18235.498
2018-08-05 14:00:00,18837.967
2018-08-05 15:00:00,19231.887
2018-08-05 16:00:00,19496.207
2018-08-05 17:00:00,19553.402
